Position,R_Squared,Drill,Rounds,Slope
DB,0.0229,40 Yard Dash,1 to 3,0.00112
DB,0.12,Bench Press,1 to 3,0.139
DB,0.00295,Vertical Leap,1 to 3,0.0134
DB,0.00143,Broad Jump,1 to 3,0.019
DB,0.000607,Shuttle,1 to 3,0.000335
DB,0.00321,3Cone,1 to 3,0.00121
DB,0.0164,40 Yard Dash,4 to 7,0.000916
DB,0.221,Bench Press,4 to 7,0.173
DB,0.00504,Vertical Leap,4 to 7,0.01575
DB,0.00264,Broad Jump,4 to 7,0.0232
DB,0.000687,Shuttle,4 to 7,0.000298
DB,0.0131,3Cone,4 to 7,0.00215
DB,0.0432,40 Yard Dash,Undrafted,0.001805
DB,0.137,Bench Press,Undrafted,0.129
DB,0.000198,Vertical Leap,Undrafted,0.00311
DB,0.00238,Broad Jump,Undrafted,0.0202
DB,0.001988,Shuttle,Undrafted,0.000526
DB,0.000205,3Cone,Undrafted,0.00029
OL,0.153,40 Yard Dash,1 to 3,0.00375
OL,0.0181,Bench Press,1 to 3,0.0368
OL,0.0252,Vertical Leap,1 to 3,-0.0253
OL,0.0351,Broad Jump,1 to 3,-0.0652
OL,0.175,Shuttle,1 to 3,0.00455
OL,0.213,3Cone,1 to 3,0.0104
OL,0.157,40 Yard Dash,4 to 7,0.00375
OL,0.0175,Bench Press,4 to 7,0.0415
OL,0.0122,Vertical Leap,4 to 7,-0.0185
OL,0.078,Broad Jump,4 to 7,-0.102
OL,0.14,Shuttle,4 to 7,0.0047
OL,0.17,3Cone,4 to 7,0.0102
OL,0.155,40 Yard Dash,Undrafted,0.00381
OL,0.0577,Bench Press,Undrafted,0.0638
OL,0.0185,Vertical Leap,Undrafted,-0.0198
OL,0.108,Broad Jump,Undrafted,-0.1129
OL,0.119,Shuttle,Undrafted,0.0037
OL,0.073,3Cone,Undrafted,0.00677
DL,0.44,40 Yard Dash,1 to 3,0.00553
DL,0.188,Bench Press,1 to 3,0.111
DL,0.19,Vertical Leap,1 to 3,-0.0635
DL,0.36,Broad Jump,1 to 3,-0.204
DL,0.276,Shuttle,1 to 3,0.00457
DL,0.372,3Cone,1 to 3,0.00933
DL,0.44,40 Yard Dash,4 to 7,0.0056
DL,0.117,Bench Press,4 to 7,0.0877
DL,0.215,Vertical Leap,4 to 7,-0.0728
DL,0.35,Broad Jump,4 to 7,-0.1964
DL,0.203,Shuttle,4 to 7,0.00409
DL,0.268,3Cone,4 to 7,0.00825
DL,0.373,40 Yard Dash,Undrafted,0.00535
DL,0.102,Bench Press,Undrafted,0.0756
DL,0.202,Vertical Leap,Undrafted,-0.0693
DL,0.283,Broad Jump,Undrafted,-0.177
DL,0.28,Shuttle,Undrafted,0.00515
DL,0.333,3Cone,Undrafted,0.00984
TE,0.07,40 Yard Dash,1 to 3,0.0039
TE,0.0152,Bench Press,1 to 3,0.0633
TE,0.00558,Vertical Leap,1 to 3,-0.0278
TE,0.0111,Broad Jump,1 to 3,-0.0757
TE,0.021,Shuttle,1 to 3,0.00302
TE,0.0335,3Cone,1 to 3,0.00484
TE,0.127,40 Yard Dash,4 to 7,0.00472
TE,0.0662,Bench Press,4 to 7,0.111
TE,0.0224,Vertical Leap,4 to 7,-0.0397
TE,0.032,Broad Jump,4 to 7,-0.087
TE,0.0564,Shuttle,4 to 7,0.00348
TE,0.0827,3Cone,4 to 7,0.00823
TE,0.117,40 Yard Dash,Undrafted,0.00407
TE,0.0549,Bench Press,Undrafted,0.0919
TE,0.0417,Vertical Leap,Undrafted,-0.0471
TE,0.0735,Broad Jump,Undrafted,-0.1261
TE,0.0951,Shuttle,Undrafted,0.00392
TE,0.0297,3Cone,Undrafted,0.00426
RB,0.0703,40 Yard Dash,1 to 3,0.0019
RB,0.0817,Bench Press,1 to 3,0.0939
RB,0.00721,Vertical Leap,1 to 3,0.0187
RB,0.00375,Broad Jump,1 to 3,0.0239
RB,0.0369,Shuttle,1 to 3,0.00208
RB,0.0184,3Cone,1 to 3,0.00249
RB,0.0922,40 Yard Dash,4 to 7,0.00217
RB,0.106,Bench Press,4 to 7,0.0988
RB,0.0000175,Vertical Leap,4 to 7,-0.000859
RB,0.00777,Broad Jump,4 to 7,-0.034
RB,0.0563,Shuttle,4 to 7,0.00234
RB,0.0989,3Cone,4 to 7,0.00607
RB,0.109,40 Yard Dash,Undrafted,0.0026
RB,0.149,Bench Press,Undrafted,0.127
RB,0.0029,Vertical Leap,Undrafted,-0.011
RB,0.0141,Broad Jump,Undrafted,-0.0496
RB,0.0475,Shuttle,Undrafted,0.00256
RB,0.0112,3Cone,Undrafted,0.00182
WR,0.0241,40 Yard Dash,1 to 3,0.00094
WR,0.0833,Bench Press,1 to 3,0.101
WR,0.0092,Vertical Leap,1 to 3,0.0183
WR,0.0519,Broad Jump,1 to 3,0.0819
WR,0.05,Shuttle,1 to 3,0.00226
WR,0.000266,3Cone,1 to 3,0.000239
WR,0.0219,40 Yard Dash,4 to 7,0.000906
WR,0.208,Bench Press,4 to 7,0.148
WR,0.0101,Vertical Leap,4 to 7,0.0185
WR,0.0277,Broad Jump,4 to 7,0.0602
WR,0.0162,Shuttle,4 to 7,0.00115
WR,0.00607,3Cone,4 to 7,0.00131
WR,0.00349,40 Yard Dash,Undrafted,0.000375
WR,0.207,Bench Press,Undrafted,0.131
WR,0.0282,Vertical Leap,Undrafted,0.0299
WR,0.0346,Broad Jump,Undrafted,0.0647
WR,0.0083,Shuttle,Undrafted,0.000816
WR,0.000119,3Cone,Undrafted,-0.0002
QB,0.00597,40 Yard Dash,1 to 3,0.00112
QB,0.816,Bench Press,1 to 3,0.576
QB,0.00918,Vertical Leap,1 to 3,0.0235
QB,0.0199,Broad Jump,1 to 3,0.0716
QB,0.00261,Shuttle,1 to 3,0.0007
QB,0.00157,3Cone,1 to 3,0.000916
QB,0.00436,40 Yard Dash,4 to 7,0.000923
